Tỉnh giao,LV-2,Kho Đến,Loại kho
"Nghệ An","Kho Trung Chuyến Nghệ An","Kho Trung Chuyến Nghệ An","Kho Trung Chuyển"
"Thanh Hóa","Kho Chuyến Tiếp Thanh Hoá","Kho Chuyến Tiếp Thanh Hoá","Kho Chuyển Tiếp"
"Hà Tĩnh","Kho Trung Chuyến Nghệ An","Kho Trung Chuyến Nghệ An","Kho Trung Chuyển"
"Nam Định","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển"
"Hà Nam","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển"
"Bắc Giang","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển"
"Vĩnh Phúc","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển"
"Thái Nguyên","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển"
"Hà Giang","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển"
"Lạng Sơn","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển"
"Cao Bằng","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển"
"Tuyên Quang","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển"
"Bắc Kạn","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển"
"Bình Dương","Bình Dương","Bình Dương","Nội vùng"
"Tây Ninh","Tây Ninh","Tây Ninh","Nội vùng"
"Đồng Nai","Kho Chuyển Tiếp Đồng Nai","Kho Chuyển Tiếp Đồng Nai","Kho Chuyển Tiếp"
"Bà Rịa - Vũng Tàu","Kho Chuyển Tiếp Đồng Nai","Kho Chuyển Tiếp Đồng Nai","Kho Chuyển Tiếp"
"Bình Thuận","Kho Chuyển Tiếp Bình Thuận","Kho Chuyển Tiếp Bình Thuận","Kho Chuyển Tiếp"
"Hưng Yên","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển"
"Quảng Ninh","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển"
"Bắc Ninh","Kho Trung Chuyển Hà Nội 02","Kho Trung Chuyển Hà Nội 02","Kho Trung Chuyển"
"Bắc Ninh","Kho Trung Chuyển Dương Xá","Kho Trung Chuyển Dương Xá","Kho Trung Chuyển"
"Bắc Ninh","Kho Trung Chuyển Dương Xá","Kho Trung Chuyển Dương Xá","Kho Trung Chuyển"
"Hải Phòng","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển"
"Hải Dương","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển"
"Ninh Bình","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển"
"Thái Bình","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển"
"Hồ Chí Minh","Hồ Chí Minh","Hồ Chí Minh","Nội Thành"
"Long An","Long An","Long An","Nội vùng"
"Kho Trung Chuyển Hà Nội 02","Kho Trung Chuyển Hà Nội 02","Kho Trung Chuyển Hà Nội 02","Kho Trung Chuyển"
"Hà Nội","Kho Trung Chuyển Hà Nội 02","Kho Trung Chuyển Hà Nội 02","Kho Trung Chuyển"
"Hà Nội","Kho Trung Chuyển Dương Xá","Kho Trung Chuyển Dương Xá","Kho Trung Chuyển"
"Hà Nội","Kho Trung Chuyển Dương Xá","Kho Trung Chuyển Dương Xá","Kho Trung Chuyển"
"Khánh Hòa","Kho Trung Chuyển Khánh Hòa","Kho Trung Chuyển Khánh Hòa","Kho Trung Chuyển"
"Đắk Lắk","Kho Trung Chuyển Đắk Lắk","Kho Trung Chuyển Đắk Lắk","Kho Trung Chuyển"
"Đắk Nông","Kho Chuyển Tiếp Đắk Nông","Kho Chuyển Tiếp Đắk Nông","Kho Chuyển Tiếp"
"Ninh Thuận","Kho Trung Chuyển Khánh Hòa","Kho Trung Chuyển Khánh Hòa","Kho Trung Chuyển"
"Bình Phước","Kho Chuyển Tiếp Bình Phước","Kho Chuyển Tiếp Bình Phước","Kho Chuyển Tiếp"
"Bình Định","Kho Trung Chuyển Bình Định","Kho Trung Chuyển Bình Định","Kho Trung Chuyển"
"Phú Yên","Kho Trung Chuyển Bình Định","Kho Trung Chuyển Bình Định","Kho Trung Chuyển"
"Lâm Đồng","Kho Trung Chuyển Hồ Chí Minh 20","Kho Trung Chuyển Hồ Chí Minh 20","Kho Trung Chuyển"
"Lào Cai","Kho Trung Chuyển Hà Nội 02","Kho Trung Chuyển Hà Nội 02","Kho Trung Chuyển"
"Sơn La","Kho Trung Chuyển Hà Nội 02","Kho Trung Chuyển Hà Nội 02","Kho Trung Chuyển"
"Phú Thọ","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển Hưng Yên 01","Kho Trung Chuyển"
"Hòa Bình","Kho Trung Chuyển Hà Nội 02","Kho Trung Chuyển Hà Nội 02","Kho Trung Chuyển"
"Yên Bái","Kho Trung Chuyển Hà Nội 02","Kho Trung Chuyển Hà Nội 02","Kho Trung Chuyển"
"Điện Biên","Kho Trung Chuyển Hà Nội 02","Kho Trung Chuyển Hà Nội 02","Kho Trung Chuyển"
"Lai Châu","Kho Trung Chuyển Hà Nội 02","Kho Trung Chuyển Hà Nội 02","Kho Trung Chuyển"
"Tiền Giang","Tiền Giang","Tiền Giang","Nội vùng"
"Bạc Liêu","Kho Trung Chuyển Cần Thơ","Kho Trung Chuyển Cần Thơ","Kho Trung Chuyển"
"Kiên Giang","Kho Trung Chuyển Hồ Chí Minh 20","Kho Trung Chuyển Hồ Chí Minh 20","Kho Trung Chuyển"
"Đồng Tháp","Kho Trung Chuyển Cần Thơ","Kho Trung Chuyển Cần Thơ","Kho Trung Chuyển"
"Trà Vinh","Kho Trung Chuyển Cần Thơ","Kho Trung Chuyển Cần Thơ","Kho Trung Chuyển"
"Sóc Trăng","Kho Trung Chuyển Cần Thơ","Kho Trung Chuyển Cần Thơ","Kho Trung Chuyển"
"An Giang","Kho Trung Chuyển Cần Thơ","Kho Trung Chuyển Cần Thơ","Kho Trung Chuyển"
"Cà Mau","Kho Trung Chuyển Hồ Chí Minh 20","Kho Trung Chuyển Hồ Chí Minh 20","Kho Trung Chuyển"
"Cần Thơ","Kho Trung Chuyển Hồ Chí Minh 20","Kho Trung Chuyển Hồ Chí Minh 20","Kho Trung Chuyển"
"Bến Tre","Bến Tre","Bến Tre","Nội vùng"
"Vĩnh Long","Kho Trung Chuyển Hồ Chí Minh 20","Kho Trung Chuyển Hồ Chí Minh 20","Kho Trung Chuyển"
"Hậu Giang","Kho Trung Chuyển Hồ Chí Minh 20","Kho Trung Chuyển Hồ Chí Minh 20","Kho Trung Chuyển"
"Kon Tum","Kho Trung Chuyển Gia Lai","Kho Trung Chuyển Gia Lai","Kho Trung Chuyển"
"Gia Lai","Kho Trung Chuyển Gia Lai","Kho Trung Chuyển Gia Lai","Kho Trung Chuyển"
